Pays,Zone,Région,MIN 200,201 300,301 400,401 500,501 600,601 700,701 800,801 900,901 1000,1001 1200,1201 1400,1401 1600,1601 1800,1801 2000,2001 2500,2500 MAX
DE,DE - 60,Frankfurt,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 61,Hessen,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 62,Darmstadt,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 63,Darmstadt,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 64,Wiesbaden,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 65,Saarbrücken,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 66,Ludwigshafen,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 67,Mannheim,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 68,Heidelberg,68.38,95.05,125.39,154.99,184.08,203.57,230.66,256.89,283.06,318.12,375.22,447.29,483.93,519.97,578.0,692.38
DE,DE - 69,Stuttgart,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 70,Boblingen,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 71,Tübingen,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 72,Göppingen,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 73,Heilbronn,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 74,Bretten,75.32,106.45,141.17,174.89,208.4,230.16,260.77,291.05,320.82,357.57,426.39,510.85,552.0,592.48,654.88,785.78
DE,DE - 75,Karlsruhe,63.18,84.67,109.33,133.55,157.38,173.57,195.53,217.28,238.69,272.39,324.02,384.38,417.14,449.39,501.7,597.83
DE,DE - 76,Offenburg,63.18,84.67,109.33,133.55,157.38,173.57,195.53,217.28,238.69,272.39,324.02,384.38,417.14,449.39,501.7,597.83
DE,DE - 77,Villingen-Schwenningen,63.18,84.67,109.33,133.55,157.38,173.57,195.53,217.28,238.69,272.39,324.02,384.38,417.14,449.39,501.7,597.83
DE,DE - 78,Freiburg,52.08,69.35,89.65,109.82,129.8,143.76,162.4,180.7,198.72,230.73,273.59,322.79,348.83,374.45,420.26,501.61
DE,DE - 79,Munich,77.89,110.59,146.99,182.61,217.41,240.02,272.06,303.75,334.7,373.55,445.66,534.7,577.61,619.85,683.97,820.77
DE,DE - 80,Munich,77.89,110.59,146.99,182.61,217.41,240.02,272.06,303.75,334.7,373.55,445.66,534.7,577.61,619.85,683.97,820.77
DE,DE - 81,Fürth,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 82,Rosenheim,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 83,Landshut,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 84,Ingolstadt,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 85,Augsburg,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 86,Kempten,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
DE,DE - 87,Tettnang,81.47,116.48,154.78,192.45,229.45,253.32,287.3,320.91,353.96,394.83,471.35,566.46,611.63,656.1,722.39,867.65
